symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
VIRTUALUSDTUSDT,1.53146535,1.50926982268245,2025-05-01 00:15:00,2025-05-01 00:15:00,-2.140821928571422,Stop Loss,0 days 00:00:00,76.96268675661722,34.333234674307654,4.230357106922427,0.026786880961714457
AIXBTUSDTUSDT,0.168914415,0.16646633838340502,2025-05-01 00:30:00,2025-05-01 00:30:00,-2.0934623489496413,Stop Loss,0 days 00:00:00,81.36864723758848,32.78365873973968,3.7642560218207994,0.005329859054838233
FETUSDTUSDT,0.7725860999999999,0.7831979753535635,2025-05-01 01:00:00,2025-05-01 01:00:00,1.805829582042479,Smart Trailing (Max 37%),0 days 00:00:00,80.62281251142508,31.30397670146907,3.5508104901690722,0.0018132366273798171
FETUSDTUSDT,0.78069015,0.78186040453485,2025-05-01 01:15:00,2025-05-01 01:15:00,0.13874804842150468,Smart Break-even,0 days 00:00:00,83.37089218966622,36.298563479621606,4.041690665170952,0.00820092260379302
FARTCOINUSDTUSDT,1.25912925,1.2610166847457502,2025-05-01 05:15:00,2025-05-01 05:45:00,0.13884685692750506,Smart Break-even,0 days 00:30:00,65.57383681043545,36.521098936360374,2.8033376555893534,0.021932612841703805
FETUSDTUSDT,0.77428695,0.7630652092336501,2025-05-01 07:15:00,2025-05-01 07:45:00,-2.0858557512006697,Stop Loss,0 days 00:30:00,66.55000661171863,26.778781636323735,2.6415658302070937,0.0074954768674074905
SUSDTUSDT,0.5348672999999999,0.5440896039470162,2025-05-01 08:15:00,2025-05-01 08:30:00,2.2776126123387352,Smart Trailing (Max 43%),0 days 00:15:00,87.8464989523429,27.308067359844852,7.707286140128971,0.0022442491116515615
SUSDTUSDT,0.54317145,0.5545418671796656,2025-05-01 08:45:00,2025-05-01 08:45:00,2.842248132616259,Smart Trailing (Max 51%),0 days 00:00:00,85.96623432496634,36.62648831069275,2.5774202777263318,0.006816507000736988
SUSDTUSDT,0.5514756,0.5523022619244,2025-05-01 09:00:00,2025-05-01 09:00:00,0.14288012859701976,Smart Break-even,0 days 00:00:00,88.21278444491055,39.647164457419414,3.5691735287257678,0.010157808815526824
SOLUSDTUSDT,150.86539499999998,151.09154222710498,2025-05-01 08:30:00,2025-05-01 09:45:00,0.13577495476611745,Smart Break-even,0 days 01:15:00,72.38172731306427,28.78795262467677,3.458907075481386,0.0012600305060017092
FARTCOINUSDTUSDT,1.2700347,1.2719384820153001,2025-05-01 09:45:00,2025-05-01 09:45:00,0.14298187973657506,Smart Break-even,0 days 00:00:00,65.8255104309506,37.1979726493859,2.6545801201064307,0.015120491415970928
