symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
AIXBTUSDTUSDT,0.07671834,0.07721674069581,2025-10-31 10:00:00,2025-10-31 10:02:00,2.996625875000019,Trailing Stop,0 days 00:02:00,78.6400660840885,48.86822526541581,3.698396462763825,0.23188405797102643
TACUSDTUSDT,0.004898448,0.004827454793136,2025-10-31 14:30:00,2025-10-31 14:30:00,-7.71703558963486,Stop Loss,0 days 00:00:00,84.76598168922675,20.029438931147922,29.533617490831016,0.0751565762004166
BASUSDTUSDT,0.014277134999999998,0.014070216482444999,2025-10-31 15:00:00,2025-10-31 15:00:00,-7.1384217723703784,Stop Loss,0 days 00:00:00,80.87616966708794,20.091771701104182,7.681243050676558,0.08737864077670054
BASUSDTUSDT,0.015167579999999998,0.015205476198629997,2025-10-31 15:30:00,2025-10-31 15:30:00,0.8800511490575073,Trailing Stop,0 days 00:00:00,85.51838510248267,23.853325020931816,6.443340558436445,0.0
TACUSDTUSDT,0.005336667,0.005371336657165499,2025-10-31 16:30:00,2025-10-31 16:30:00,2.6670539735100913,Trailing Stop,0 days 00:00:00,79.5823529963381,30.880909952738566,16.082021730431457,0.21551724137931041
PUMPUSDTUSDT,0.00470235,0.004634198841450001,2025-10-31 20:00:00,2025-10-31 20:02:00,-6.867964905873687,Stop Loss,0 days 00:02:00,72.19337568588597,19.707659014153887,4.294269737850386,0.015624999999998676
TANSSIUSDTUSDT,0.029284635,0.028860212784945,2025-10-31 19:45:00,2025-10-31 20:33:00,-6.868308321289797,Stop Loss,0 days 00:48:00,72.46002939295005,22.605254743578964,3.7300541152867153,0.23809523809523653
BATUSDTUSDT,0.17058525,0.171011457247125,2025-11-01 06:15:00,2025-11-01 06:17:00,0.7781195523167671,Trailing Stop,0 days 00:02:00,78.79076025948714,41.6039960098708,7.939088240787039,0.17391304347825196
BATUSDTUSDT,0.17158575,0.172014456996375,2025-11-01 06:30:00,2025-11-01 06:35:00,0.7858511456363875,Trailing Stop,0 days 00:05:00,77.93178552354163,28.78319895948714,8.911851739332832,0.15151515151514208
BATUSDTUSDT,0.174087,0.17452195636949996,2025-11-01 07:00:00,2025-11-01 07:01:00,0.7936595620291342,Trailing Stop,0 days 00:01:00,81.55676890510077,31.72141932854928,5.810789168466997,0.16000000000000622
BATUSDTUSDT,0.17758875,0.178032455491875,2025-11-01 07:15:00,2025-11-01 07:21:00,0.8015455648286358,Trailing Stop,0 days 00:06:00,88.24308771236633,44.9750217114658,13.143618512843826,0.08571428571429206
WLDUSDTUSDT,0.8390192999999999,0.8411155897210498,2025-11-01 07:30:00,2025-11-01 07:31:00,0.8095099249529156,Trailing Stop,0 days 00:01:00,82.35219660477894,26.097751994512098,3.85378748144397,0.18260869565217205
TURTLEUSDTUSDT,0.1232616,0.12356956910759999,2025-11-01 07:45:00,2025-11-01 07:47:00,0.8175534209803974,Trailing Stop,0 days 00:02:00,63.456201185855555,26.654787774027454,3.9905856617162585,0.0
WLDUSDTUSDT,0.8691343499999999,0.8713058821734749,2025-11-01 08:00:00,2025-11-01 08:00:00,0.8256768392254683,Trailing Stop,0 days 00:00:00,89.72678000247917,33.056077149542155,7.384149247023121,0.003333333333332963
BATUSDTUSDT,0.1810905,0.18154295461424996,2025-11-01 08:45:00,2025-11-01 08:47:00,0.8338809738154592,Trailing Stop,0 days 00:02:00,76.50108751945197,49.58167693815484,4.1312326457729815,0.2500000000000047
AIAUSDTUSDT,1.39799865,1.3777374555655502,2025-11-01 12:15:00,2025-11-01 12:15:00,-6.318936905985007,Stop Loss,0 days 00:00:00,79.00628645495877,37.40575704080425,3.5101418123372357,0.15799614643545234
ZKUSDTUSDT,0.038739359999999994,0.03817791045552,2025-11-01 15:00:00,2025-11-01 15:00:00,-5.845150804864011,Stop Loss,0 days 00:00:00,74.56062429052481,60.75348401769486,3.9892977372701273,0.21721311475409966
ZKUSDTUSDT,0.046012995,0.046127958468007504,2025-11-01 16:15:00,2025-11-01 16:15:00,0.720611900818984,Trailing Stop,0 days 00:00:00,87.57627847810096,65.75178790408373,4.537433170540179,0.08494208494208409
HUMAUSDTUSDT,0.025136561999999998,0.024772257806933998,2025-11-01 18:00:00,2025-11-01 19:56:00,-5.460612818807847,Stop Loss,0 days 01:56:00,74.25245857737455,20.256249859381487,5.481678481330985,0.14598540145984748
FETUSDTUSDT,0.2697348,0.27148713212819997,2025-11-02 04:45:00,2025-11-02 04:48:00,2.0201193189801203,Trailing Stop,0 days 00:03:00,81.13881666944278,28.71818668964508,9.249632888025843,0.048076923076923024
FETUSDTUSDT,0.2703351,0.27101053224734994,2025-11-02 05:00:00,2025-11-02 05:01:00,0.6933443935705343,Trailing Stop,0 days 00:01:00,79.3294266987439,52.543159440128896,8.090286990505142,0.2201834862385329
ZKUSDTUSDT,0.060210089999999994,0.060360524909864995,2025-11-02 06:00:00,2025-11-02 06:00:00,0.7002336394012598,Trailing Stop,0 days 00:00:00,80.83355454365248,54.347972309592954,3.5926575949003077,0.22311827956989286
