,symbol,entry_price,exit_price,entry_time,exit_time,pnl,balance_after,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
0,SOMIUSDTUSDT,0.29144565,0.28707818910000005,2025-12-12 04:00:00+00:00,2025-12-12 04:00:00+00:00,-21.359659999999913,977.9506848275862,Stop Loss,0 days 00:00:00,75.44036792051108,49.08070538487611,3.4832411927246882,0.005833905284831966
1,SOMIUSDTUSDT,0.28804395,0.28372746530000004,2025-12-12 04:15:00+00:00,2025-12-12 04:15:00+00:00,-20.888694124684196,956.3875419547451,Stop Loss,0 days 00:00:00,70.39767051756517,50.959662243078355,5.1786303340957565,0.04897533865925669
2,ICNTUSDTUSDT,0.35207594999999997,0.3467999133,2025-12-12 05:30:00+00:00,2025-12-12 05:30:00+00:00,-20.428112724389102,935.2998516152148,Stop Loss,0 days 00:00:00,75.17126863065582,38.30854480225943,4.430687296463351,0.005683432793407223
3,ICNTUSDTUSDT,0.35387685,0.36241455427693187,2025-12-12 05:45:00+00:00,2025-12-12 05:45:00+00:00,30.479094513876817,965.1339117486674,Smart Trailing (Max 57%),0 days 00:00:00,75.74481382314569,40.336684400800976,3.662293718119643,0.012167515563101375
4,ICNTUSDTUSDT,0.36168075,0.35626078050000004,2025-12-12 06:00:00+00:00,2025-12-12 06:00:00+00:00,-20.614932209421415,943.8533699449365,Stop Loss,0 days 00:00:00,78.61727756697357,42.48368144310151,3.105431972370883,0.0066390041493776305
5,ICNTUSDTUSDT,0.3573786,0.3858394837500001,2025-12-12 06:15:00+00:00,2025-12-12 06:15:00+00:00,103.0266559468319,1045.5786080941607,Smart Trailing (Max 166%),0 days 00:00:00,73.52362635269658,44.521193811879826,3.281890983822351,0.02212265471856628
6,ICNTUSDTUSDT,0.378189,0.372521646,2025-12-12 06:30:00+00:00,2025-12-12 06:30:00+00:00,-22.333203572164518,1022.5243158267589,Stop Loss,0 days 00:00:00,80.0429979051334,47.05272183512061,4.4156672192608,0.024622716441620417
7,ARBUSDTUSDT,0.21650819999999998,0.21326371480000003,2025-12-12 06:15:00+00:00,2025-12-12 07:30:00+00:00,-20.146483356656,1002.3778324701029,Stop Loss,0 days 01:15:00,72.36504585910474,30.557323647400896,2.73635720989899,0.0
8,JELLYJELLYUSDTUSDT,0.087253605,0.08594606547,2025-12-12 10:30:00+00:00,2025-12-12 10:30:00+00:00,-21.380928221678364,978.2345832372306,Stop Loss,0 days 00:00:00,66.69829219008612,26.5035522543305,3.2196499173343365,0.07145314829682302
9,MERLUSDTUSDT,0.40184082,0.39581903148,2025-12-12 10:30:00+00:00,2025-12-12 10:30:00+00:00,-21.36618275393925,956.8684004832913,Stop Loss,0 days 00:00:00,66.83636885615981,43.14261583275578,3.3370658276411533,0.0006722605383063827
10,RIVERUSDTUSDT,7.5067515,7.394259021000001,2025-12-12 11:00:00+00:00,2025-12-12 11:00:00+00:00,-20.43838369906681,935.7701075425119,Stop Loss,0 days 00:00:00,77.92855992011198,49.66511512607569,3.559709380663498,0.00999733404425489
11,PAXGUSDTUSDT,4315.046445,4338.68895494596,2025-12-12 08:45:00+00:00,2025-12-12 12:30:00+00:00,6.883687339043763,942.6537948815557,Smart Trailing (Max 38%),0 days 03:45:00,79.5124144662569,33.19653041108532,3.053713101421997,0.0
12,MERLUSDTUSDT,0.42543261,0.42607033348239,2025-12-12 13:15:00+00:00,2025-12-12 13:15:00+00:00,1.2985863784530132,943.3022751945731,Smart Break-even,0 days 00:00:00,77.1725143213962,48.77178172757197,2.778833862567298,0.011194205352523369
13,PIPPINUSDTUSDT,0.37178579999999994,0.3662144012,2025-12-12 13:30:00+00:00,2025-12-12 13:30:00+00:00,-20.148615875382546,922.5031060259529,Stop Loss,0 days 00:00:00,74.73113397434145,28.66988718209048,3.889287488284551,0.030569683270094943
14,AIOTUSDTUSDT,0.36368174999999997,0.3582317945,2025-12-12 14:00:00+00:00,2025-12-12 14:00:00+00:00,-19.704352693658308,902.162544293656,Stop Loss,0 days 00:00:00,67.13327008610581,58.6347439394214,2.564028287661141,0.019526952695269516
15,LTCUSDTUSDT,84.292125,83.02896475,2025-12-12 10:15:00+00:00,2025-12-12 15:15:00+00:00,-21.395683865723736,880.1446793629021,Stop Loss,0 days 05:00:00,70.28348336251005,25.98523316128606,7.713543789336912,0.0015430267062314
16,PAXGUSDTUSDT,4351.0244250000005,4285.822116950001,2025-12-12 14:45:00+00:00,2025-12-12 16:00:00+00:00,-19.269885210847267,860.8747941520548,Stop Loss,0 days 01:15:00,69.67128336230898,48.7951002951461,2.6203798299455947,0.0007220283016699383
17,MMTUSDTUSDT,0.23181585,0.22834197190000002,2025-12-12 17:15:00+00:00,2025-12-12 17:15:00+00:00,-18.38799290565775,841.8930944918095,Stop Loss,0 days 00:00:00,67.73920643837435,59.441516460125825,2.6122155425270734,0.025032369443245574
