,symbol,entry_price,exit_price,entry_time,exit_time,pnl,balance_after,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
0,PNUTUSDTUSDT,1.32736335,1.333787540731717,2024-12-12 00:14:00+00:00,2024-12-12 00:17:00+00:00,5.985602816790674,1005.2959476443768,Smart Trailing (Max 35%),0 days 00:03:00,65.66576810147835,36.34361945430666,2.5536965527412487,0.005796205708772678
1,LINKUSDTUSDT,25.5777825,25.6161235959675,2024-12-12 02:41:00+00:00,2024-12-12 02:42:00+00:00,1.384881311689864,1005.9875214059671,Smart Break-even,0 days 00:01:00,77.87044010976099,37.143139393680826,2.977340553029551,0.0
2,LINKUSDTUSDT,25.566777,25.6864875263189,2024-12-12 02:43:00+00:00,2024-12-12 02:43:00+00:00,5.802838219410469,1011.0965751278561,Smart Trailing (Max 34%),0 days 00:00:00,77.76956751855421,37.30091511802943,4.280800385702065,0.007356969554668639
3,LINKUSDTUSDT,25.6678275,25.823920252057903,2024-12-12 02:44:00+00:00,2024-12-12 02:45:00+00:00,7.783364584246441,1018.1826317292557,Smart Trailing (Max 41%),0 days 00:01:00,78.59093631853906,37.30091511802943,4.710690872537846,0.00339115182225686
4,LINKUSDTUSDT,25.703845499999996,25.7423755644045,2024-12-12 02:50:00+00:00,2024-12-12 02:50:00+00:00,1.4026338232770155,1018.8830706340988,Smart Break-even,0 days 00:00:00,75.20700898320393,39.60519446789118,2.7324623716716783,0.014441416893732918
5,IOUSDTUSDT,4.6147062,4.5455524868,2024-12-12 02:51:00+00:00,2024-12-12 02:54:00+00:00,-21.76299596850028,995.7152033116064,Stop Loss,0 days 00:03:00,83.86432338977453,31.280410885599956,5.886673570161478,0.03252261829858337
6,LINKUSDTUSDT,25.738863,26.416329228000002,2024-12-12 02:52:00+00:00,2024-12-12 02:56:00+00:00,36.26196150960543,1031.2904646809968,Smart Trailing (Max 139%),0 days 00:04:00,76.17119619173167,39.60519446789118,3.3867235783429543,0.012982469778831563
7,IOUSDTUSDT,4.5716847,4.5785376553653006,2024-12-12 02:55:00+00:00,2024-12-12 02:59:00+00:00,1.3716830153977941,1030.5299144687117,Smart Break-even,0 days 00:04:00,82.95724404117168,31.280410885599956,7.959997047141073,0.04112885583023422
8,LINKUSDTUSDT,26.436211499999995,26.475839381038497,2024-12-12 02:57:00+00:00,2024-12-12 02:59:00+00:00,1.420690986378115,1031.9506054550898,Smart Break-even,0 days 00:02:00,83.43833952962136,39.832890085253105,5.436084915240295,0.001211020284589768
9,AAVEUSDTUSDT,326.98341,327.47355813159,2024-12-12 02:58:00+00:00,2024-12-12 02:59:00+00:00,1.4197111994907834,1033.3703166545806,Smart Break-even,0 days 00:01:00,81.76540351962424,36.451054609632585,3.019678229312579,0.0064873466140334905
10,IOUSDTUSDT,4.57678725,4.5082017715,2024-12-12 03:00:00+00:00,2024-12-12 03:04:00+00:00,-22.072438617834223,1010.5852088528468,Stop Loss,0 days 00:04:00,83.03235028920568,31.280410885599956,8.887045450015174,0.04044599912549202
11,LINKUSDTUSDT,26.564275499999997,26.73757321917142,2024-12-12 03:12:00+00:00,2024-12-12 03:15:00+00:00,8.396167361167876,1017.587946239953,Smart Trailing (Max 43%),0 days 00:03:00,83.86044740196121,39.75396090608101,2.6638662167398817,0.0012428442301898634
12,IOUSDTUSDT,4.40049915,4.447358473460674,2024-12-12 03:14:00+00:00,2024-12-12 03:15:00+00:00,14.136186721292798,1031.7241329612457,Smart Trailing (Max 63%),0 days 00:01:00,65.28800933044485,33.1922615472863,2.8660853184008235,0.04333492485733122
13,WLDUSDTUSDT,3.2912448,3.2961783759552,2024-12-12 02:59:00+00:00,2024-12-12 03:17:00+00:00,1.4187320883188956,1033.1428650495645,Smart Break-even,0 days 00:18:00,77.61722930163823,29.87537411226569,2.703523380614838,0.0012158054711246212
14,WLDUSDTUSDT,3.3386685,3.3436731640815003,2024-12-12 03:27:00+00:00,2024-12-12 03:27:00+00:00,1.422261279841105,1033.1405930757653,Smart Break-even,0 days 00:00:00,77.62753143314552,30.846767461682873,2.584895034909497,0.0005693736889421674
15,WLDUSDTUSDT,3.3380681999999995,3.3430719642317994,2024-12-12 03:29:00+00:00,2024-12-12 03:29:00+00:00,1.4222581521607935,1033.1383211069622,Smart Break-even,0 days 00:00:00,77.58679986947142,30.9675333881823,3.052780731929142,0.004525836230667887
16,LINKUSDTUSDT,26.761374,26.801489299626,2024-12-12 03:28:00+00:00,2024-12-12 03:30:00+00:00,1.4232396967792247,1033.8490516167712,Smart Break-even,0 days 00:02:00,84.57371420538747,41.42831866628449,2.50462503762092,0.010430686406460292
17,WLDUSDTUSDT,3.34557195,3.35058696235305,2024-12-12 03:30:00+00:00,2024-12-12 03:31:00+00:00,1.42323656694753,1035.2722881837187,Smart Break-even,0 days 00:01:00,78.04644210755123,30.9675333881823,3.236213552963763,0.002452666527084014
18,ETHUSDTUSDT,3908.49327,3914.35210141173,2024-12-12 03:26:00+00:00,2024-12-12 03:40:00+00:00,1.4232428266179056,1036.6955310103367,Smart Break-even,0 days 00:14:00,77.77496726627983,27.784038989297642,2.719828545253154,0.00021758328960333516
19,SUSHIUSDTUSDT,2.5883935499999997,2.5991157141269707,2024-12-12 03:41:00+00:00,2024-12-12 03:44:00+00:00,5.208000869290806,1041.188569444448,Smart Trailing (Max 32%),0 days 00:03:00,83.28681592470616,41.28446683057529,2.5553881760470527,0.013875468635256934
20,SUSHIUSDTUSDT,2.59819845,2.6020931494765502,2024-12-12 03:45:00+00:00,2024-12-12 03:46:00+00:00,1.4343264738584207,1041.9048348359308,Smart Break-even,0 days 00:01:00,83.6472516202616,41.28446683057529,3.261562496411432,0.01024416544712323
21,AAVEUSDTUSDT,340.91037,348.35685444,2024-12-12 03:59:00+00:00,2024-12-12 04:00:00+00:00,30.65063358187734,1070.4012895661617,Smart Trailing (Max 117%),0 days 00:01:00,87.24443706194866,46.40210145053651,2.656122737437829,0.012678660522994725
22,UNIUSDTUSDT,17.978984999999998,18.093351813967274,2024-12-12 04:00:00+00:00,2024-12-12 04:00:00+00:00,8.411126329830807,1078.8124158959924,Smart Trailing (Max 42%),0 days 00:00:00,70.41523086219672,26.495574705219045,3.0387894300116667,0.022089917649677188
23,ETHUSDTUSDT,3931.40472,3937.2978956752804,2024-12-12 03:58:00+00:00,2024-12-12 04:08:00+00:00,1.4353131908119408,1080.2477290868044,Smart Break-even,0 days 00:10:00,81.08391903609011,30.04416271012533,2.6854230096179235,0.004626613461460116
24,AAVEUSDTUSDT,343.23152999999996,343.74603406346995,2024-12-12 04:12:00+00:00,2024-12-12 04:15:00+00:00,1.4881338132449253,1080.2463798243668,Smart Break-even,0 days 00:03:00,84.96909502501076,48.82283112847957,2.816853375939065,0.022299956274595474
25,BBUSDTUSDT,0.47993985,0.47274770790000004,2024-12-12 04:13:00+00:00,2024-12-12 04:16:00+00:00,-23.057811295818578,1057.1885685285483,Stop Loss,0 days 00:03:00,74.4593165830719,49.18233150547085,2.66868186233952,0.031186158015426253
26,LINKUSDTUSDT,27.698842499999998,27.7403630649075,2024-12-12 04:44:00+00:00,2024-12-12 04:45:00+00:00,1.4563678436365475,1057.9158408076826,Smart Break-even,0 days 00:01:00,83.70034854659501,52.216809947735904,2.5457272450721997,0.021203583297211375
27,GOATUSDTUSDT,0.7487742,0.7375534388,2024-12-12 05:55:00+00:00,2024-12-12 05:56:00+00:00,-22.596722668266157,1034.5895210078247,Stop Loss,0 days 00:01:00,77.42579816452873,31.422570969949074,2.644082523655369,0.012827365045430323
28,GOATUSDTUSDT,0.7412704499999999,0.74238161440455,2024-12-12 05:57:00+00:00,2024-12-12 05:59:00+00:00,1.425235719164463,1034.588228773885,Smart Break-even,0 days 00:02:00,72.31049907816492,31.422570969949074,3.170556131845518,0.023218142548596103
29,XVGUSDTUSDT,0.016218104999999997,0.016242415939395,2024-12-12 05:58:00+00:00,2024-12-12 05:59:00+00:00,1.4242527979789132,1036.0124815718639,Smart Break-even,0 days 00:01:00,82.47089193625854,40.96389880985131,2.9276503557988423,0.0036896953841786565
30,GOATUSDTUSDT,0.7993995,0.787420093,2024-12-12 06:01:00+00:00,2024-12-12 06:01:00+00:00,-22.113613069467682,1012.4703785218603,Stop Loss,0 days 00:00:00,82.58422278055946,36.20875292963908,3.3169009640785116,0.016020025031289013
31,GOATUSDTUSDT,0.7920958499999999,0.7802258919,2024-12-12 06:02:00+00:00,2024-12-12 06:02:00+00:00,-21.626023045298172,990.1461000430987,Stop Loss,0 days 00:00:00,81.76858016032935,36.20875292963908,4.907916459251831,0.025388404698749537
32,GOATUSDTUSDT,0.7858927499999999,0.7955712269933659,2024-12-12 06:03:00+00:00,2024-12-12 06:04:00+00:00,16.135982572894438,1005.5992232366532,Smart Trailing (Max 71%),0 days 00:01:00,81.00066518680863,36.20875292963908,5.351617782266347,0.03361344537815123
33,XVGUSDTUSDT,0.01621940565,0.016423556544214443,2024-12-12 06:00:00+00:00,2024-12-12 06:05:00+00:00,17.271508974639637,1022.1772155056124,Smart Trailing (Max 35%),0 days 00:05:00,82.4758474411446,41.021348414443594,3.5104535721395194,0.010346550841235865
34,GOATUSDTUSDT,0.7948972499999999,0.7960888009777499,2024-12-12 06:05:00+00:00,2024-12-12 06:05:00+00:00,1.3852990998059993,1023.5625146054184,Smart Break-even,0 days 00:00:00,82.07900753482885,36.20875292963908,7.10037392992259,0.021903323262839842
35,GOATUSDTUSDT,0.79249605,0.7978551653417753,2024-12-12 06:06:00+00:00,2024-12-12 06:08:00+00:00,8.840859096724756,1030.9920501683305,Smart Trailing (Max 44%),0 days 00:02:00,81.8152462708886,36.20875292963908,7.776062687347355,0.024870597146824817
36,GOATUSDTUSDT,0.7975985999999999,0.8023132815116958,2024-12-12 06:09:00+00:00,2024-12-12 06:09:00+00:00,7.694534059107843,1037.9755552273223,Smart Trailing (Max 40%),0 days 00:00:00,82.38996008792175,36.20875292963908,8.89438505233582,0.018314099347716942
37,XVGUSDTUSDT,0.016178485200000002,0.016202736749314803,2024-12-12 06:08:00+00:00,2024-12-12 06:12:00+00:00,1.4090726280630692,1038.6687826448838,Smart Break-even,0 days 00:04:00,81.51709374815879,43.45576872651111,2.5235215775291033,0.020660645799826856
38,GOATUSDTUSDT,0.7995996,0.8007981998004,2024-12-12 06:10:00+00:00,2024-12-12 06:12:00+00:00,1.429900271451054,1040.0986829163348,Smart Break-even,0 days 00:02:00,82.62681164673475,36.20875292963908,9.387425770431683,0.01551163372529393
39,XVGUSDTUSDT,0.016200396149999997,0.016390224679793942,2024-12-12 06:13:00+00:00,2024-12-12 06:14:00+00:00,16.092508701351633,1054.7570674408614,Smart Trailing (Max 33%),0 days 00:01:00,82.12930478111765,43.45576872651111,3.7184316986626964,0.019097265113521198
40,GOATUSDTUSDT,0.79589775,0.79709080072725,2024-12-12 06:14:00+00:00,2024-12-12 06:14:00+00:00,1.4318369065584897,1056.18890434742,Smart Break-even,0 days 00:00:00,82.20246808865491,36.20875292963908,10.492369780294908,0.02049025769956
41,XVGUSDTUSDT,0.016300146,0.016324579918854002,2024-12-12 06:15:00+00:00,2024-12-12 06:16:00+00:00,1.4549907205658288,1056.9154889270565,Smart Break-even,0 days 00:01:00,83.00359677035249,43.45576872651111,4.161868147024569,0.012723489661013861
42,GOATUSDTUSDT,0.8181088499999999,0.8193351951661499,2024-12-12 06:30:00+00:00,2024-12-12 06:30:00+00:00,1.455991653085376,1057.642573346399,Smart Break-even,0 days 00:00:00,84.39629519123292,38.48592718966201,2.5576563635357803,0.0023233064318904533
43,XVGUSDTUSDT,0.01677648405,0.016525079926700003,2024-12-12 07:15:00+00:00,2024-12-12 07:16:00+00:00,-22.59088576820407,1034.3222789069216,Stop Loss,0 days 00:01:00,77.46249467248853,48.465112779968265,2.626778379775693,0.004884274306570174
44,XVGUSDTUSDT,0.01740960045,0.017640465618751197,2024-12-12 07:29:00+00:00,2024-12-12 07:33:00+00:00,18.204847047196754,1051.8138002445276,Smart Trailing (Max 36%),0 days 00:04:00,80.90574880333922,50.457233598085004,2.7285853600929597,0.002114966838699297
45,XVGUSDTUSDT,0.0176362137,0.0173719260918,2024-12-12 07:41:00+00:00,2024-12-12 07:42:00+00:00,-22.466385156530936,1028.6220262602417,Stop Loss,0 days 00:01:00,81.83303367655877,52.08405535919392,2.5184306177749116,0.009848863069032782
46,XVGUSDTUSDT,0.01732855995,0.017609933079278505,2024-12-12 07:43:00+00:00,2024-12-12 07:46:00+00:00,22.327883620454315,1050.2405153798268,Smart Trailing (Max 42%),0 days 00:03:00,78.82993309594504,52.08405535919392,2.9515830896314474,0.027227294237139543
47,ENAUSDTUSDT,1.13646795,1.13817151545705,2024-12-12 09:42:00+00:00,2024-12-12 09:42:00+00:00,1.4467963050455817,1050.9630078811622,Smart Break-even,0 days 00:00:00,70.6888318460923,52.01450109847042,2.5330684549503397,0.0057223347125628776
48,ENAUSDTUSDT,1.13586765,1.13757031560735,2024-12-12 09:43:00+00:00,2024-12-12 09:46:00+00:00,1.4477916003764406,1051.6859974071378,Smart Break-even,0 days 00:03:00,70.51973656521929,52.01450109847042,2.714920791223291,0.006253853606976223
49,TRXUSDTUSDT,0.307683765,0.30307296771000003,2024-12-12 10:00:00+00:00,2024-12-12 10:03:00+00:00,-22.463655331377314,1028.4970413878934,Stop Loss,0 days 00:03:00,79.95224169886134,35.83177416048873,6.27583644177031,0.0022762006958669994
50,TRXUSDTUSDT,0.30333159,0.30378628405341,2024-12-12 10:04:00+00:00,2024-12-12 10:04:00+00:00,1.4168428064234464,1029.2045758899114,Smart Break-even,0 days 00:00:00,66.95721077572944,38.047244048331365,2.5741669880184523,0.015634276667326412
