,symbol,entry_price,exit_price,entry_time,exit_time,pnl,balance_after,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
0,QUSDTUSDT,0.029592788999999998,0.029149326046000002,2025-09-14 08:15:00+00:00,2025-09-14 08:15:00+00:00,-21.35965999999985,977.9506848275863,Stop Loss,0 days 00:00:00,77.40478531349598,50.257672718412536,3.103514387498447,0.024342416661031794
1,AVNTUSDTUSDT,0.8894244899999999,0.87609601286,2025-09-14 08:30:00+00:00,2025-09-14 08:30:00+00:00,-20.888694124684335,956.3875419547451,Stop Loss,0 days 00:00:00,70.01524586423196,48.16031642291318,2.5876667279293164,0.008977387782652703
2,PUMPBTCUSDTUSDT,0.12510252,0.12322779528000002,2025-09-14 08:45:00+00:00,2025-09-14 08:45:00+00:00,-20.428112724388996,935.299851615215,Stop Loss,0 days 00:00:00,74.53913948484681,46.55549457196027,2.5369875177405143,0.03542866282789499
3,SOMIUSDTUSDT,1.43341635,1.4119358789,2025-09-14 09:00:00+00:00,2025-09-14 09:00:00+00:00,-19.97768682855147,914.6771304062393,Stop Loss,0 days 00:00:00,79.95798946086688,29.336307446218136,3.7020093333391166,0.013329611277828106
4,PTBUSDTUSDT,0.07175586,0.07068056204,2025-09-14 09:15:00+00:00,2025-09-14 09:15:00+00:00,-19.537192515252855,894.5091260769132,Stop Loss,0 days 00:00:00,73.40916612735637,25.051871206778458,7.65513827614518,0.02957589285714301
5,BIOUSDTUSDT,0.18451220999999998,0.18174720094,2025-09-14 09:30:00+00:00,2025-09-14 09:30:00+00:00,-19.106410799900004,874.7858124314429,Stop Loss,0 days 00:00:00,66.8388330166177,39.58250086922438,3.375027624427651,0.003958355926689125
6,WLFIUSDTUSDT,0.23601794999999998,0.2400222993024246,2025-09-14 09:45:00+00:00,2025-09-14 09:45:00+00:00,19.867938821139003,894.0504506922844,Smart Trailing (Max 93%),0 days 00:00:00,75.39703406046871,41.47489849758897,4.87499895447468,0.02416278083933875
7,PUMPBTCUSDTUSDT,0.1370685,0.14378407199999999,2025-09-14 11:15:00+00:00,2025-09-14 11:15:00+00:00,59.80151085899291,953.2353750335585,Smart Trailing (Max 253%),0 days 00:00:00,77.60205619154513,45.396891125024624,3.008270907636304,0.012475377544320343
8,PUMPBTCUSDTUSDT,0.138179055,0.13610837177000001,2025-09-14 11:30:00+00:00,2025-09-14 11:30:00+00:00,-20.360783510689163,932.2171878159496,Stop Loss,0 days 00:00:00,78.22013904248409,47.16195132887659,3.8048906112888474,0.04249619923260686
9,PUMPBTCUSDTUSDT,0.141420675,0.13930141445,2025-09-14 11:45:00+00:00,2025-09-14 11:45:00+00:00,-19.91184217790486,911.6624372326544,Stop Loss,0 days 00:00:00,80.06966314061381,47.863825943107045,3.280229925307849,0.020715497737556477
