,symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
0,CHILLGUYUSDTUSDT,0.07293645,0.07417573145606252,2025-06-02 13:45:00,2025-06-02 14:15:00,3.2965508750000434,Trailing Stop (Stepped),0 days 00:30:00,76.54564155253757,43.76436743795312,4.165022666336549,0.0015091233365344902
1,WIFUSDTUSDT,0.9398696999999999,0.9539,2025-06-02 21:15:00,2025-06-02 21:45:00,1.2324085084610654,Partial TP 15%,0 days 00:30:00,0.0,0.0,0.0,0.0
2,WIFUSDTUSDT,0.9398696999999999,0.9592,2025-06-02 21:15:00,2025-06-02 22:00:00,1.273466685910405,Partial TP 25%,0 days 00:45:00,0.0,0.0,0.0,0.0
3,WIFUSDTUSDT,0.9398696999999999,0.9610192500000001,2025-06-02 21:15:00,2025-06-02 22:15:00,1.3616619683760551,Final TP 40%,0 days 01:00:00,77.9348958279851,29.11268037513622,3.707918441670819,0.0020223523150612165
4,COWUSDTUSDT,0.41330655,0.4161981459504375,2025-06-03 09:45:00,2025-06-03 09:45:00,1.3889423755029804,Trailing Stop (Stepped),0 days 00:00:00,78.88993592852167,35.145129176348796,3.7709975889656504,0.004839099927413506
5,FARTCOINUSDTUSDT,1.1713854,1.1968,2025-06-03 13:45:00,2025-06-03 14:45:00,1.8768911932053631,Partial TP 15%,0 days 01:00:00,0.0,0.0,0.0,0.0
6,FARTCOINUSDTUSDT,1.1713854,1.20299669925075,2025-06-03 13:45:00,2025-06-03 15:00:00,3.4351527594988007,Trailing Stop (Stepped),0 days 01:15:00,70.46243346715102,25.657241693808793,3.9682373357396346,0.00017080877957125113
7,MELANIAUSDTUSDT,0.33646814999999997,0.3396,2025-06-03 10:15:00,2025-06-03 16:30:00,0.8060220301512715,Partial TP 15%,0 days 06:15:00,0.0,0.0,0.0,0.0
8,MELANIAUSDTUSDT,0.33646814999999997,0.33697251575684994,2025-06-03 10:15:00,2025-06-03 16:45:00,0.12966438797223961,Stop Loss,0 days 06:30:00,71.06481440375654,25.27543418892203,3.8223216872626766,0.0014867677668748156
9,CFXUSDTUSDT,0.08008002,0.08086,2025-06-06 20:15:00,2025-06-06 22:00:00,0.8904275049760989,Partial TP 15%,0 days 01:45:00,0.0,0.0,0.0,0.0
