symbol,wins,total_trades,win_rate,total_pnl,avg_pnl,avg_roi,max_leverage
WIFUSDTUSDT,1,1,1.0,0.001,0.001,4.603,75
HBARUSDTUSDT,5,7,0.714,8.751,1.25,53.105,75
PENGUUSDTUSDT,6,9,0.667,19.289,2.143,32.378,75
NEIROUSDTUSDT,2,3,0.667,-1.154,-0.385,2.281,75
VIRTUALUSDTUSDT,7,11,0.636,0.256,0.023,45.673,75
ONDOUSDTUSDT,1,2,0.5,4.511,2.256,18.905,75
DOTUSDTUSDT,7,16,0.438,0.827,0.052,10.609,75
LINKUSDTUSDT,5,12,0.417,1.196,0.1,12.092,75
ENAUSDTUSDT,24,59,0.407,2.657,0.045,9.13,75
WLDUSDTUSDT,4,10,0.4,-0.017,-0.002,2.312,75
WLFIUSDTUSDT,24,65,0.369,-1.682,-0.026,1.229,75
PUMPUSDTUSDT,15,41,0.366,-0.051,-0.001,4.287,75
SUIUSDTUSDT,13,39,0.333,3.18,0.082,-1.941,75
1000BONKUSDTUSDT,1,3,0.333,2.423,0.808,-3.716,75
PNUTUSDTUSDT,2,6,0.333,0.044,0.007,55.344,75
AAVEUSDTUSDT,3,9,0.333,-0.608,-0.068,-0.127,75
1000PEPEUSDTUSDT,24,72,0.333,-5.16,-0.072,3.779,75
MYXUSDTUSDT,17,51,0.333,-2.496,-0.049,0.878,10
FILUSDTUSDT,6,19,0.316,1.409,0.074,7.415,75
ETHUSDTUSDT,47,149,0.315,-11.893,-0.08,-5.125,150
BNBUSDTUSDT,18,58,0.31,-7.384,-0.127,-1.536,75
XRPUSDTUSDT,35,113,0.31,-10.777,-0.095,-11.663,100
AVNTUSDTUSDT,12,39,0.308,4.014,0.103,0.249,75
LTCUSDTUSDT,8,28,0.286,4.234,0.151,-6.101,75
UNIUSDTUSDT,6,21,0.286,-0.463,-0.022,-8.766,75
TRUMPUSDTUSDT,40,141,0.284,-3.493,-0.025,-5.182,75
BCHUSDTUSDT,9,33,0.273,-1.342,-0.041,-8.193,75
ADAUSDTUSDT,9,34,0.265,-10.283,-0.302,-3.992,75
XPLUSDTUSDT,16,61,0.262,0.316,0.005,2.321,75
HYPEUSDTUSDT,11,42,0.262,-1.522,-0.036,-3.345,75
ASTERUSDTUSDT,36,138,0.261,0.099,0.001,-0.111,75
BTCUSDTUSDT,63,244,0.258,-8.276,-0.034,-7.221,150
SOLUSDTUSDT,32,124,0.258,-22.677,-0.183,-1.184,100
1000SHIBUSDTUSDT,2,8,0.25,0.062,0.008,-8.841,75
DOGEUSDTUSDT,19,77,0.247,0.604,0.008,-7.711,75
0GUSDTUSDT,8,33,0.242,-0.196,-0.006,-12.611,75
ZECUSDTUSDT,11,46,0.239,17.341,0.377,2.966,75
AVAXUSDTUSDT,5,21,0.238,0.003,0.0,6.422,75
COAIUSDTUSDT,7,36,0.194,-0.0,-0.0,0.149,10
SOMIUSDTUSDT,1,8,0.125,-6.76,-0.845,-12.22,75
KAITOUSDTUSDT,1,8,0.125,-1.304,-0.163,-20.114,75
XLMUSDTUSDT,1,8,0.125,-0.686,-0.086,-17.716,75
FARTCOINUSDTUSDT,3,30,0.1,-11.87,-0.396,-16.586,75
AIAUSDTUSDT,2,24,0.083,-0.002,-0.0,-4.041,20
GIGGLEUSDTUSDT,0,1,0.0,-0.0,-0.0,-16.994,50
