symbol,side,entry_price,exit_price,entry_time,exit_time,quantity,leverage,pnl,roi,reason,duration,signal_strength,balance_after,hour_of_day,day_of_week,day_of_month,is_weekend,trading_session,is_prime_hour,duration_minutes,is_quick_trade,is_winner,max_leverage,lev_group,is_major
BTCUSDTUSDT,SHORT,109430.0,109582.0,2025-11-01 00:00:00,2025-11-01 00:30:00,0.0152304365043105,150,-2.982619025861339,-26.843571232751533,Time Stop (30min),0 days 00:30:00,72,76.15762788771819,0,5,1,1,Asia,0,30.0,0,0,150,100x+,1
ADAUSDTUSDT,SHORT,0.6073,0.6081,2025-11-01 00:15:00,2025-11-01 00:45:00,2421.15983923995,75,-2.525850790688741,-12.883747735880409,Time Stop (30min),0 days 00:30:00,72,84.2670391951923,0,5,1,1,Asia,0,30.0,0,0,75,51-75x,0
BTCUSDTUSDT,SHORT,109582.0,109725.1,2025-11-01 00:30:00,2025-11-01 01:00:00,0.0115830501188944,150,-2.1659150050541527,-25.59590626197813,Time Stop (30min),0 days 00:30:00,72,14.419386227553694,0,5,1,1,Asia,0,30.0,0,0,150,100x+,1
MYXUSDTUSDT,SHORT,2.019,2.025057,2025-11-01 00:45:00,2025-11-01 01:00:00,375.63316134558227,10,-2.579481483396101,-3.401199999999879,Hard Stop Loss,0 days 00:15:00,72,87.68024001983068,0,5,1,1,Asia,0,15.0,1,0,10,5-20x,0
TRUMPUSDTUSDT,LONG,8.278,8.253166,2025-11-01 01:00:00,2025-11-01 01:15:00,176.5326568813518,75,-4.96679332965667,-25.49100000000022,Hard Stop Loss,0 days 00:15:00,70,82.12891175670848,1,5,1,1,Asia,0,15.0,1,0,75,51-75x,0
PENGUUSDTUSDT,SHORT,0.01821,0.017981,2025-11-01 01:30:00,2025-11-01 02:00:00,75168.32487343378,75,16.672905736196654,91.35403624382208,Trailing TP (Max 1.7%),0 days 00:30:00,72,87.27700190535643,1,5,1,1,Asia,0,30.0,0,1,75,51-75x,0
XRPUSDTUSDT,SHORT,2.4979,2.501,2025-11-01 01:45:00,2025-11-01 02:15:00,422.5583917094439,100,-1.7326584293653533,-16.415388926697947,Time Stop (30min),0 days 00:30:00,72,85.82013820698123,1,5,1,1,Asia,0,30.0,0,0,100,76-100x,1
ETHUSDTUSDT,SHORT,3837.28,3844.83,2025-11-01 02:00:00,2025-11-01 02:30:00,0.3790749432990684,150,-3.445007307605686,-35.52489784430531,Time Stop (30min),0 days 00:30:00,85,72.4292994770388,2,5,1,1,Asia,0,30.0,0,0,150,100x+,1
FARTCOINUSDTUSDT,SHORT,0.318,0.3189539999999999,2025-11-01 02:15:00,2025-11-01 02:30:00,4497.910807493988,75,-4.864857567826436,-25.508999999998935,Hard Stop Loss,0 days 00:15:00,72,86.63558373298687,2,5,1,1,Asia,0,15.0,1,0,75,51-75x,0
ETHUSDTUSDT,SHORT,3844.83,3850.72,2025-11-01 02:30:00,2025-11-01 03:00:00,0.3755501271967389,150,-2.790445603508355,-28.98810090433077,Time Stop (30min),0 days 00:30:00,72,70.01938245582289,2,5,1,1,Asia,0,30.0,0,0,150,100x+,1
