symbol,max_leverage
BTCUSDT,150
ETHUSDT,150
ETHUSDC,125
BTCUSDC,125
SOLUSDT,100
SOLUSDC,100
ETHBTC,100
XRPUSDT,100
CELOUSDT,75
1INCHUSDT,75
VANAUSDT,75
RUNEUSDT,75
DOTUSDT,75
FLOWUSDT,75
WLDUSDT,75
PENDLEUSDT,75
IPUSDC,75
UNIUSDC,75
BOMEUSDC,75
DOGEUSDC,75
BRETTUSDT,75
GOATUSDT,75
ETCUSDT,75
AIXBTUSDT,75
1000PEPEUSDT,75
KAITOUSDT,75
LTCUSDT,75
ADAUSDT,75
PEOPLEUSDT,75
BLURUSDT,75
AXLUSDT,75
OMUSDT,75
ERAUSDT,75
BUSDT,75
GMTUSDT,75
BIOUSDC,75
ONDOUSDT,75
PROVEUSDT,75
NEIROUSDT,75
STRKUSDT,75
YFIUSDT,75
TONUSDT,75
STXUSDT,75
CAKEUSDT,75
FFUSDT,75
ZECUSDT,75
ZENUSDT,75
CCUSDT,75
PUMPUSDT,75
ZORAUSDT,75
COMPUSDT,75
RSRUSDT,75
PENGUUSDT,75
HBARUSDT,75
WLFIUSDT,75
WLDUSDC,75
THETAUSDT,75
AUCTIONUSDT,75
SEIUSDT,75
XMRUSDT,75
XPLUSDT,75
ICPUSDT,75
SSVUSDT,75
KAIAUSDT,75
WUSDT,75
LINKUSDC,75
ONTUSDT,75
FETUSDT,75
JUPUSDT,75
VIRTUALUSDT,75
API3USDT,75
TWTUSDT,75
CHZUSDT,75
GASUSDT,75
COOKIEUSDT,75
SFPUSDT,75
TIAUSDT,75
MONUSDT,75
MOCAUSDT,75
MEMEUSDT,75
XRPUSDC,75
ETHUSDT_210326,75
NXPCUSDT,75
RVNUSDT,75
BOMEUSDT,75
TRBUSDT,75
ARUSDT,75
ENSUSDT,75
OPUSDT,75
HOLOUSDT,75
PNUTUSDT,75
AXSUSDT,75
BEAMXUSDT,75
ARKMUSDT,75
PENGUUSDC,75
AAVEUSDT,75
MASKUSDT,75
MOVEUSDT,75
SUIUSDT,75
SIGNUSDT,75
UNIUSDT,75
SUSHIUSDT,75
TAOUSDT,75
REDUSDT,75
COWUSDT,75
MINAUSDT,75
AVAXUSDT,75
BTCUSDT_210326,75
HYPEUSDT,75
JASMYUSDT,75
NEOUSDC,75
GALAUSDT,75
MKRUSDT,75
APTUSDT,75
ASTERUSDT,75
IOTAUSDT,75
EULUSDT,75
LDOUSDT,75
LAUSDT,75
BNBUSDC,75
MOODENGUSDT,75
AAVEUSDC,75
GRASSUSDT,75
1000SHIBUSDT,75
MANAUSDT,75
KAITOUSDC,75
FARTCOINUSDT,75
1000CHEEMSUSDT,75
1MBABYDOGEUSDT,75
QNTUSDT,75
ENAUSDT,75
ARBUSDT,75
INJUSDT,75
CVXUSDT,75
EGLDUSDT,75
MERLUSDT,75
NOMUSDT,75
1000FLOKIUSDT,75
AVNTUSDT,75
BCHUSDC,75
ZILUSDT,75
SOMIUSDT,75
1000BONKUSDT,75
GRTUSDT,75
SUPERUSDT,75
WIFUSDT,75
AVAXUSDC,75
NOTUSDT,75
ALLUSDT,75
FILUSDT,75
TOSHIUSDT,75
NEOUSDT,75
PLUMEUSDT,75
1000000MOGUSDT,75
FXSUSDT,75
CFXUSDT,75
NEARUSDT,75
BIOUSDT,75
BABYUSDT,75
NMRUSDT,75
SANDUSDT,75
TURBOUSDT,75
PYTHUSDT,75
ORDIUSDC,75
ZKUSDT,75
LTCUSDC,75
RONINUSDT,75
LAYERUSDT,75
ALGOUSDT,75
BNBUSDT,75
MORPHOUSDT,75
ETHFIUSDT,75
OPENUSDT,75
RENDERUSDT,75
XTZUSDT,75
ORDIUSDT,75
SUSDT,75
BCHUSDT,75
WALUSDT,75
ATOMUSDT,75
PNUTUSDC,75
MELANIAUSDT,75
FLUIDUSDT,75
AEROUSDT,75
JTOUSDT,75
LINKUSDT,75
IMXUSDT,75
AUSDT,75
DYDXUSDT,75
MAGICUSDT,75
ZROUSDT,75
OMNIUSDT,75
TRXUSDT,75
APEUSDT,75
DOGEUSDT,75
ZRXUSDT,75
POLUSDT,75
BIGTIMEUSDT,75
0GUSDT,75
METUSDT,75
RAYSOLUSDT,75
VETUSDT,75
ACHUSDT,75
SOPHUSDT,75
ROSEUSDT,75
EDENUSDT,75
1000BONKUSDC,75
DASHUSDT,75
RLCUSDT,75
LINEAUSDT,75
LPTUSDT,75
1000XECUSDT,75
ETHFIUSDC,75
PAXGUSDT,75
YBUSDT,75
KASUSDT,75
IPUSDT,75
ZECUSDC,75
CRVUSDT,75
IOUSDT,75
WLFIUSDC,75
HOMEUSDT,75
BSVUSDT,75
EIGENUSDT,75
TRUMPUSDT,75
FILUSDC,75
XLMUSDT,75
ENSOUSDT,75
SNXUSDT,75
HUMAUSDT,75
QTUMUSDT,75
SKYUSDT,75
MIRAUSDT,75
1000LUNCUSDT,75
ATHUSDT,75
SPKUSDT,75
BERAUSDT,75
SPXUSDT,75
MATICUSDT,51
MATICUSDC,51
BTSUSDT,50
XNYUSDT,50
RAREUSDT,50
HOTUSDT,50
BTCUSDT_251226,50
BRUSDT,50
YFIIUSDT,50
DUSKUSDT,50
SAFEUSDT,50
TUTUSDT,50
ARCUSDT,50
ETHUSDT_260327,50
CKBUSDT,50
RIVERUSDT,50
LUMIAUSDT,50
NEWTUSDT,50
PIPPINUSDT,50
SCRUSDT,50
VICUSDT,50
COTIUSDT,50
DEEPUSDT,50
LSKUSDT,50
币安人生USDT,50
SPELLUSDT,50
HIGHUSDT,50
A2ZUSDT,50
HAEDALUSDT,50
SLPUSDT,50
CHRUSDT,50
NEARUSDC,50
UAIUSDT,50
MMTUSDT,50
SYRUPUSDT,50
LENDUSDT,50
ENJUSDT,50
STORJUSDT,50
BANKUSDT,50
STOUSDT,50
BTCUSDT_231229,50
ETHUSDT_231229,50
AGLDUSDT,50
BROCCOLI714USDT,50
YGGUSDT,50
BBUSDT,50
DOLOUSDT,50
ATUSDT,50
DOODUSDT,50
LUNA2USDT,50
ETHUSDT_251226,50
XVGUSDT,50
ARIAUSDT,50
TAKEUSDT,50
XAIUSDT,50
OLUSDT,50
DENTUSDT,50
DYMUSDT,50
ALLOUSDT,50
BTCUSDT_240329,50
HOOKUSDT,50
HEMIUSDT,50
ETHUSDT_241227,50
UBUSDT,50
ONUSDT,50
POWRUSDT,50
XANUSDT,50
ALCHUSDT,50
KNCUSDT,50
SAGAUSDT,50
GUSDT,50
COMMONUSDT,50
ETHUSDT_250926,50
CGPTUSDT,50
B2USDT,50
MLNUSDT,50
FORTHUSDT,50
BANDUSDT,50
LISTAUSDT,50
TSTUSDT,50
CUSDT,50
STBLUSDT,50
GUNUSDT,50
ETHUSDT_250627,50
ZEREBROUSDT,50
EOSUSDT,50
JOEUSDT,50
TRUSTUSDT,50
VANRYUSDT,50
1000CATUSDT,50
BTCUSDT_240927,50
TNSRUSDT,50
SKYAIUSDT,50
BTCUSDT_250627,50
GRIFFAINUSDT,50
ICPUSDT_SETTLED,50
PIXELUSDT,50
MAVUSDT,50
MEWUSDT,50
ANIMEUSDT,50
IOTXUSDT,50
ETHUSDT_250328,50
IOSTUSDT,50
SAPIENUSDT,50
BLUAIUSDT,50
BMTUSDT,50
BTCUSDT_240628,50
ETHUSDT_240927,50
PUNDIXUSDT,50
AINUSDT,50
RIFUSDT,50
CTKUSDT,50
ZRCUSDT,50
REZUSDT,50
HYPERUSDT,50
USUALUSDT,50
SCUSDT,50
KMNOUSDT,50
AKTUSDT,50
SHELLUSDT,50
TOWNSUSDT,50
ONGUSDT,50
BTCUSDT_250328,50
