symbol,base_asset,quote_asset,status,max_leverage_estimate
BTCUSDT,BTC,USDT,TRADING,125
ETHUSDT,ETH,USDT,TRADING,125
ETHUSDT_251226,ETH,USDT,TRADING,125
ETHUSDT_260327,ETH,USDT,TRADING,125
ETHBTC,ETH,BTC,TRADING,125
BTCUSDT_260327,BTC,USDT,TRADING,125
BTCUSDT_251226,BTC,USDT,TRADING,125
ETHUSDC,ETH,USDC,TRADING,125
BTCUSDC,BTC,USDC,TRADING,125
BNBUSDC,BNB,USDC,TRADING,75
ADAUSDT,ADA,USDT,TRADING,75
SOLUSDC,SOL,USDC,TRADING,75
XRPUSDC,XRP,USDC,TRADING,75
SOLUSDT,SOL,USDT,TRADING,75
BNBUSDT,BNB,USDT,TRADING,75
DOGEUSDC,DOGE,USDC,TRADING,75
ADAUSDC,ADA,USDC,TRADING,75
XRPUSDT,XRP,USDT,TRADING,75
DOGEUSDT,DOGE,USDT,TRADING,75
GUNUSDT,GUN,USDT,TRADING,50
FORTHUSDT,FORTH,USDT,TRADING,50
ATHUSDT,ATH,USDT,TRADING,50
BABYUSDT,BABY,USDT,TRADING,50
PROMPTUSDT,PROMPT,USDT,TRADING,50
STOUSDT,STO,USDT,TRADING,50
WALUSDT,WAL,USDT,TRADING,50
MLNUSDT,MLN,USDT,TRADING,50
FUNUSDT,FUN,USDT,TRADING,50
FORMUSDT,FORM,USDT,TRADING,50
BIDUSDT,BID,USDT,TRADING,50
TUTUSDT,TUT,USDT,TRADING,50
BROCCOLI714USDT,BROCCOLI714,USDT,TRADING,50
BROCCOLIF3BUSDT,BROCCOLIF3B,USDT,TRADING,50
SIRENUSDT,SIREN,USDT,TRADING,50
BANANAS31USDT,BANANAS31,USDT,TRADING,50
BRUSDT,BR,USDT,TRADING,50
PLUMEUSDT,PLUME,USDT,TRADING,50
NILUSDT,NIL,USDT,TRADING,50
PARTIUSDT,PARTI,USDT,TRADING,50
JELLYJELLYUSDT,JELLYJELLY,USDT,TRADING,50
MAVIAUSDT,MAVIA,USDT,TRADING,50
PAXGUSDT,PAXG,USDT,TRADING,50
KERNELUSDT,KERNEL,USDT,TRADING,50
FHEUSDT,FHE,USDT,TRADING,50
BANKUSDT,BANK,USDT,TRADING,50
WCTUSDT,WCT,USDT,TRADING,50
NXPCUSDT,NXPC,USDT,TRADING,50
SYRUPUSDT,SYRUP,USDT,TRADING,50
OBOLUSDT,OBOL,USDT,TRADING,50
DOODUSDT,DOOD,USDT,TRADING,50
OGUSDT,OG,USDT,TRADING,50
ZKJUSDT,ZKJ,USDT,TRADING,50
SKYAIUSDT,SKYAI,USDT,TRADING,50
CVCUSDT,CVC,USDT,TRADING,50
B2USDT,B2,USDT,TRADING,50
AGTUSDT,AGT,USDT,TRADING,50
AWEUSDT,AWE,USDT,TRADING,50
BUSDT,B,USDT,TRADING,50
SOONUSDT,SOON,USDT,TRADING,50
HUMAUSDT,HUMA,USDT,TRADING,50
AUSDT,A,USDT,TRADING,50
MILKUSDT,MILK,USDT,TRADING,50
ALPINEUSDT,ALPINE,USDT,TRADING,50
INITUSDT,INIT,USDT,TRADING,50
JSTUSDT,JST,USDT,TRADING,50
AERGOUSDT,AERGO,USDT,TRADING,50
BMTUSDT,BMT,USDT,TRADING,50
EPTUSDT,EPT,USDT,TRADING,50
DEEPUSDT,DEEP,USDT,TRADING,50
HYPERUSDT,HYPER,USDT,TRADING,50
FISUSDT,FIS,USDT,TRADING,50
SIGNUSDT,SIGN,USDT,TRADING,50
ASRUSDT,ASR,USDT,TRADING,50
PUNDIXUSDT,PUNDIX,USDT,TRADING,50
CTKUSDT,CTK,USDT,TRADING,50
AIOTUSDT,AIOT,USDT,TRADING,50
DOLOUSDT,DOLO,USDT,TRADING,50
HAEDALUSDT,HAEDAL,USDT,TRADING,50
SXTUSDT,SXT,USDT,TRADING,50
MUBARAKUSDT,MUBARAK,USDT,TRADING,50
REDUSDT,RED,USDT,TRADING,50
EPICUSDT,EPIC,USDT,TRADING,50
USUALUSDT,USUAL,USDT,TRADING,50
DEGOUSDT,DEGO,USDT,TRADING,50
VELODROMEUSDT,VELODROME,USDT,TRADING,50
MOCAUSDT,MOCA,USDT,TRADING,50
VANAUSDT,VANA,USDT,TRADING,50
PENGUUSDT,PENGU,USDT,TRADING,50
LUMIAUSDT,LUMIA,USDT,TRADING,50
AIXBTUSDT,AIXBT,USDT,TRADING,50
MEUSDT,ME,USDT,TRADING,50
FARTCOINUSDT,FARTCOIN,USDT,TRADING,50
KMNOUSDT,KMNO,USDT,TRADING,50
CGPTUSDT,CGPT,USDT,TRADING,50
HIVEUSDT,HIVE,USDT,TRADING,50
DEXEUSDT,DEXE,USDT,TRADING,50
PHAUSDT,PHA,USDT,TRADING,50
AVAUSDT,AVA,USDT,TRADING,50
SPXUSDT,SPX,USDT,TRADING,50
GRIFFAINUSDT,GRIFFAIN,USDT,TRADING,50
CHILLGUYUSDT,CHILLGUY,USDT,TRADING,50
AKTUSDT,AKT,USDT,TRADING,50
SCRTUSDT,SCRT,USDT,TRADING,50
1000CHEEMSUSDT,1000CHEEMS,USDT,TRADING,50
1000WHYUSDT,1000WHY,USDT,TRADING,50
THEUSDT,THE,USDT,TRADING,50
MORPHOUSDT,MORPHO,USDT,TRADING,50
KAIAUSDT,KAIA,USDT,TRADING,50
VIRTUALUSDT,VIRTUAL,USDT,TRADING,50
AEROUSDT,AERO,USDT,TRADING,50
